Year,Average Fastest Lap Time (Seconds),Number of Races,Number of Deaths,Teams,Constructor Wins,Driver Champions,Constructor Winners
1950,155.483,6,0,Alpine,0,0,
1951,200.186,8,0,Aston Martin,0,0,
1952,202.5,8,1,Ferrari,16,15,
1953,190.482,9,2,Haas,0,0,
1954,190.738,9,1,McLaren,9,12,
1955,131.881,7,3,Mercedes,8,9,
1956,189.334,8,0,Racing Bulls,0,0,
1957,222.544,8,2,Red Bull Racing,6,8,
1958,163.022,11,4,Sauber,0,0,
1959,117.084,9,2,Williams,9,7,
1960,124.172,10,3,,,,
1961,185.113,8,3,,,,Ferrari
1962,173.1,9,2,,,,
1963,157.15,10,0,,,,
1964,152.553,10,1,,,,Ferrari
1965,160.204,10,0,,,,
1966,163.58,9,1,,,,
1967,127.628,11,2,,,,
1968,135.338,12,1,,,,
1969,126.039,11,1,,,,
1970,105.064,13,3,,,,
1971,124.171,11,1,,,,
1972,122.346,12,0,,,,
1973,114.455,15,2,,,,
1974,112.863,15,2,,,,McLaren
1975,121.492,14,1,,,,Ferrari
1976,113.08,16,0,,,,Ferrari
1977,97.815,17,2,,,,Ferrari
1978,93.134,16,1,,,,
1979,85.081,15,0,,,,Ferrari
1980,93.725,14,1,,,,Williams
1981,92.025,15,0,,,,Williams
1982,88.615,16,2,,,,Ferrari
1983,85.807,15,0,,,,Ferrari
1984,91.413,16,0,,,,McLaren
1985,91.413,16,0,,,,McLaren
1986,88.611,16,1,,,,Williams
1987,88.652,16,0,,,,Williams
1988,90.205,16,0,,,,McLaren
1989,90.011,16,0,,,,McLaren
1990,85.385,16,0,,,,McLaren
1991,87.678,16,0,,,,McLaren
1992,86.295,16,0,,,,Williams
1993,86.132,16,0,,,,Williams
1994,87.444,16,1,,,,Williams
1995,88.229,17,0,,,,
1996,89.869,16,0,,,,Williams
1997,87.905,17,0,,,,Williams
1998,88.509,16,0,,,,McLaren
1999,88.421,16,0,,,,Ferrari
2000,81.957,17,1,,,,Ferrari
2001,83.625,17,0,,,,Ferrari
2002,84.306,17,1,,,,Ferrari
2003,88.864,16,0,,,,Ferrari
2004,79.942,18,0,,,,Ferrari
2005,85.913,19,0,,,,
2006,78.964,18,0,,,,
2007,86.434,17,0,,,,Ferrari
2008,87.387,18,0,,,,Ferrari
2009,91.089,17,0,,,,
2010,97.331,19,0,,,,Red Bull
2011,94.131,19,0,,,,Red Bull
2012,90.686,20,0,,,,Red Bull
2013,95.616,19,0,,,,Red Bull
2014,98.14,19,2,,,,Mercedes
2015,96.994,19,0,,,,Mercedes
2016,90.431,21,0,,,,Mercedes
2017,88.33,20,1,,,,Mercedes
2018,85.906,21,0,,,,Mercedes
2019,86.036,21,0,,,,Mercedes
2020,90.356,17,0,,,,Mercedes
2021,85.973,21,0,,,,Mercedes
2022,85.945,22,0,,,,Red Bull
2023,88.3,20,0,,,,Red Bull
2024,79.126,24,0,,,,McLaren
