Season,Number of Teams,Number of Drivers,Number of Races,Number of New Regulations,New Regulations Impacting Aerodynamics,Fatalities,Average Car Weight (kg),DRS,Overtakes
1990,14,39,16,1,0,0,505,FALSE,544
1991,12,26,16,1,0,0,505,FALSE,518
1992,12,26,16,1,0,0,505,FALSE,426
1993,12,26,16,1,0,0,505,FALSE,434
1994,12,26,16,2,1,3,505,FALSE,287
1995,12,26,17,1,1,1,595,FALSE,345
1996,11,22,16,1,0,0,595,FALSE,212
1997,11,22,17,1,0,0,595,FALSE,334
1998,11,22,16,1,0,0,595,FALSE,217
1999,11,22,16,1,0,0,595,FALSE,298
2000,11,22,16,1,0,0,595,FALSE,350
2001,11,22,17,1,0,0,595,FALSE,277
2002,11,22,17,1,0,0,595,FALSE,274
2003,11,22,16,1,1,1,595,FALSE,357
2004,11,22,18,1,0,0,595,FALSE,375
2005,10,20,19,3,2,0,605,FALSE,246
2006,11,22,18,1,1,0,605,FALSE,345
2007,11,22,17,1,0,0,605,FALSE,376
2008,10,20,18,2,1,0,585,FALSE,366
2009,10,20,16,3,3,1,605,FALSE,301
2010,12,24,19,3,0,0,620,FALSE,615
2011,12,24,19,2,0,0,640,TRUE,1249
2012,11,22,20,2,1,0,640,TRUE,1229
2013,11,22,19,1,0,0,642,TRUE,1029
2014,11,22,19,4,2,1,690,TRUE,871
2015,11,22,19,1,0,0,702,TRUE,629
2016,11,22,21,1,0,0,702,TRUE,1097
2017,10,20,20,1,2,0,728,TRUE,509
2018,10,20,21,1,1,0,734,TRUE,749
2019,10,20,21,2,1,0,743,TRUE,949
2020,10,20,17,2,0,0,746,TRUE,628
2021,10,20,22,5,2,0,752,TRUE,807
2022,10,20,23,5,5,0,795,TRUE,994
2023,10,20,23,4,4,0,798,TRUE,1101
